id,category,subcategory,question,answer,keywords,audience,source_url,source_type,as_of,volatility,confidence,notes
kb-001,general,access,Does SCASPA issue access badges for port workers?,Personnel working in restricted areas at the airport or seaports are required to hold a valid SCASPA security identification or port access pass.,badge|access pass|security id|port pass|restricted area|credential,business,internal:scaspaexcel.xlsx#row-18,client-interview,2026-07-31,low,probable,"Standard ISPS/aviation-security practice and highly likely, but the issuing process is not published. Do not describe application steps. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-002,general,careers,Can I email my CV to SCASPA?,"SCASPA's website directs applicants to an online application form rather than to an email address. Client-supplied guidance mentions an HR mailbox, but that address is unverified - use the official application form linked from the Join Our Team page.",cv|resume|email application|hr email|send resume|apply by email,business,https://www.scaspa.com/join-our-team.html,official-site,2026-07-31,medium,probable,CORRECTION: workbook supplies hr@scaspa.com. Deliberately NOT published - an unverified address can silently swallow applications. | REMAP: audience 'jobseeker'->'business': no jobseeker bucket in loader enum
kb-003,general,careers,Does SCASPA offer internships or student programmes?,Client-supplied guidance indicates SCASPA periodically runs internship and apprenticeship programmes for secondary and tertiary students. Enquire through the Join Our Team page or contact SCASPA directly.,internship|intern|student|apprentice|training|work experience|attachment,business,internal:scaspaexcel.xlsx#row-195,client-interview,2026-07-31,medium,probable,"Plausible for a statutory authority; no published programme found. | REMAP: audience 'jobseeker'->'business': no jobseeker bucket in loader enum; source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-004,general,careers,What qualifications does a SCASPA security officer need?,"Client-supplied guidance indicates a secondary school qualification, physical fitness, a clean police record and completion of security training. Confirm current requirements with SCASPA Human Resources before applying.",security officer|qualifications|requirements|job requirements|become|hiring criteria,business,internal:scaspaexcel.xlsx#row-196,client-interview,2026-07-31,medium,unverified,"Workbook-supplied. Do not present as an official job specification. | REMAP: audience 'jobseeker'->'business': no jobseeker bucket in loader enum; source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-005,general,contact,How do I contact SCASPA?,"SCASPA can be reached on (869) 465-8121, 465-8122, 465-8123 or 465-8124, or by email at info@scaspa.com.",contact|phone|telephone|email|reach|get in touch|call,all,https://www.scaspa.com/contact.html,official-site,2026-07-31,low,confirmed,Four numbers on the contact page; the site footer shows only 8121/2/3. Give 465-8121 as primary.
kb-006,general,contact,Where is SCASPA's head office?,"SCASPA's headquarters is at Bird Rock, Basseterre, at the Deep Water Harbour site, with the postal address P.O. Box 963, Bird Rock, Basseterre, St. Kitts.",head office|headquarters|hq|where is scaspa|admin building|main office,all,https://www.scaspa.com/contact.html,official-site,2026-07-31,low,confirmed,Bird Rock location verified on the contact page.
kb-007,general,contact,What postal address should I use for SCASPA?,"Write to the St. Christopher Air & Sea Ports Authority, P.O. Box 963, Bird Rock, Basseterre, St. Kitts, West Indies.",postal|address|mail|write|po box|send letter|correspondence,all,https://www.scaspa.com/contact.html,official-site,2026-07-31,low,confirmed,Address verified on the contact page.
kb-008,general,country,Where is St. Kitts and Nevis?,"The Federation of St. Kitts and Nevis lies in the northern Caribbean, roughly 2,100 km south-east of Miami. St. Kitts covers about 168 sq km and Nevis about 93 sq km, separated by a channel some 3 km wide. It is the smallest nation in the Americas by both land area and population.",where is st kitts|country|geography|island|federation|about the country,traveller,https://www.scaspa.com/our-history.html,official-site,2026-07-31,low,confirmed,SOURCE ERROR: the SCASPA page gives independence as 19 September 1993; the correct year is 1983. This row deliberately omits the date so the error is not propagated.
kb-009,general,currency,What currency is used at SCASPA facilities?,The official currency is the Eastern Caribbean Dollar (XCD). US Dollars are widely accepted across terminals and services in St. Kitts.,currency|money|xcd|ec dollar|usd|us dollars|what currency|payment,traveller,internal:scaspaexcel.xlsx#row-23,client-interview,2026-07-31,low,confirmed,"XCD is the national currency of St. Kitts and Nevis - independently established fact. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-010,general,currency,What is the exchange rate between US and Eastern Caribbean dollars?,The Eastern Caribbean Dollar is pegged to the US Dollar at a fixed rate of USD 1.00 to XCD 2.70. Retailers and exchange bureaux may apply their own slightly different rates.,exchange rate|conversion|usd to xcd|rate|2.70|peg|convert,traveller,internal:scaspaexcel.xlsx#row-24,client-interview,2026-07-31,low,confirmed,"The 2.70 peg is a long-standing ECCB arrangement - independently established. Note added that vendor rates differ. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-011,general,departments,What departments exist within SCASPA?,"SCASPA's published management structure covers human resources, security, finance, maintenance and equipment, procurement, quality control, cargo operations, marine and passenger operations, and airport operations.",departments|divisions|structure|org chart|teams|units,business,https://www.scaspa.com/management-team.html,official-site,2026-07-31,low,confirmed,"Derived from the published Management Team page rather than the workbook's list, which added a Communications department not shown on the site."
kb-012,general,digital,Where can I find SCASPA online?,"SCASPA's website is www.scaspa.com. On social media the Authority uses the handle scaspa1993 on Facebook, Instagram and YouTube, and maintains a LinkedIn page.",website|social media|facebook|instagram|linkedin|youtube|online,all,https://www.scaspa.com/index.html,official-site,2026-07-31,low,confirmed,The older domains scaspaair.com and scaspasea.com now point back to scaspa.com.
kb-013,general,feedback,How do I submit feedback or a complaint about SCASPA?,Feedback and complaints can be sent by email to info@scaspa.com or through the contact form on the SCASPA website.,complaint|feedback|comment|suggestion|report issue|customer service,all,https://www.scaspa.com/contact.html,official-site,2026-07-31,low,confirmed,Contact page and email verified.
kb-014,general,governance,Which government ministry oversees SCASPA?,"SCASPA falls under the Ministry of Tourism, Civil Aviation and International Transport of St. Kitts and Nevis. The Hon. Marsha T. Henderson is the Minister with responsibility for SCASPA.",ministry|minister|government|oversight|portfolio|who oversees|marsha henderson|government oversight|responsible minister|parking fees|parking tariff|how much parking,all,https://sknpulse.com/scaspa-renames-facility-2-waiting-lounge-in-honour-of-long-serving-employeee-ike-tross/,press,2026-03-13,medium,confirmed,Ministry title and Minister confirmed by March 2026 press coverage. Ministerial portfolios change with government. Merged duplicate phrasing from a second source row. | REMAP: source 'news-media'->'press': news article
